,Date,Value
0,2006-06-01,201.800
1,2006-07-01,202.900
2,2006-08-01,203.800
3,2006-09-01,202.800
4,2006-10-01,201.900
5,2006-11-01,202.000
6,2006-12-01,203.100
7,2007-01-01,203.437
8,2007-02-01,204.226
9,2007-03-01,205.288
10,2007-04-01,205.904
11,2007-05-01,206.755
12,2007-06-01,207.234
13,2007-07-01,207.603
14,2007-08-01,207.667
15,2007-09-01,208.547
16,2007-10-01,209.190
17,2007-11-01,210.834
18,2007-12-01,211.445
19,2008-01-01,212.174
20,2008-02-01,212.687
21,2008-03-01,213.448
22,2008-04-01,213.942
23,2008-05-01,215.208
24,2008-06-01,217.463
25,2008-07-01,219.016
26,2008-08-01,218.690
27,2008-09-01,218.877
28,2008-10-01,216.995
29,2008-11-01,213.153
30,2008-12-01,211.398
31,2009-01-01,211.933
32,2009-02-01,212.705
33,2009-03-01,212.495
34,2009-04-01,212.709
35,2009-05-01,213.022
36,2009-06-01,214.790
37,2009-07-01,214.726
38,2009-08-01,215.445
39,2009-09-01,215.861
40,2009-10-01,216.509
41,2009-11-01,217.234
42,2009-12-01,217.347
43,2010-01-01,217.488
44,2010-02-01,217.281
45,2010-03-01,217.353
46,2010-04-01,217.403
47,2010-05-01,217.290
48,2010-06-01,217.199
49,2010-07-01,217.605
50,2010-08-01,217.923
51,2010-09-01,218.275
52,2010-10-01,219.035
53,2010-11-01,219.590
54,2010-12-01,220.472
55,2011-01-01,221.187
56,2011-02-01,221.898
57,2011-03-01,223.046
58,2011-04-01,224.093
59,2011-05-01,224.806
60,2011-06-01,224.806
61,2011-07-01,225.395
62,2011-08-01,226.106
63,2011-09-01,226.597
64,2011-10-01,226.750
65,2011-11-01,227.169
66,2011-12-01,227.223
67,2012-01-01,227.842
68,2012-02-01,228.329
69,2012-03-01,228.807
70,2012-04-01,229.187
71,2012-05-01,228.713
72,2012-06-01,228.524
73,2012-07-01,228.590
74,2012-08-01,229.918
75,2012-09-01,231.015
76,2012-10-01,231.638
77,2012-11-01,231.249
78,2012-12-01,231.221
79,2013-01-01,231.679
80,2013-02-01,232.937
81,2013-03-01,232.282
82,2013-04-01,231.797
83,2013-05-01,231.893
84,2013-06-01,232.445
85,2013-07-01,232.900
86,2013-08-01,233.456
87,2013-09-01,233.544
88,2013-10-01,233.669
89,2013-11-01,234.100
90,2013-12-01,234.719
91,2014-01-01,235.288
92,2014-02-01,235.547
93,2014-03-01,236.028
94,2014-04-01,236.468
95,2014-05-01,236.918
96,2014-06-01,237.231
97,2014-07-01,237.498
98,2014-08-01,237.460
99,2014-09-01,237.477
100,2014-10-01,237.430
101,2014-11-01,236.983
102,2014-12-01,236.252
103,2015-01-01,234.747
104,2015-02-01,235.342
105,2015-03-01,235.976
106,2015-04-01,236.222
107,2015-05-01,237.001
108,2015-06-01,237.657
109,2015-07-01,238.034
110,2015-08-01,238.033
111,2015-09-01,237.498
112,2015-10-01,237.733
113,2015-11-01,238.017
114,2015-12-01,237.761
115,2016-01-01,237.652
116,2016-02-01,237.336
117,2016-03-01,238.080
118,2016-04-01,238.992
119,2016-05-01,239.557
120,2016-06-01,240.222
121,2016-07-01,240.101
122,2016-08-01,240.545
123,2016-09-01,241.176
124,2016-10-01,241.741
125,2016-11-01,242.026
126,2016-12-01,242.637
127,2017-01-01,243.618
128,2017-02-01,244.006
129,2017-03-01,243.892
130,2017-04-01,244.193
131,2017-05-01,244.004
132,2017-06-01,244.163
133,2017-07-01,244.243
134,2017-08-01,245.183
135,2017-09-01,246.435
136,2017-10-01,246.626
137,2017-11-01,247.284
138,2017-12-01,247.805
139,2018-01-01,248.859
140,2018-02-01,249.529
141,2018-03-01,249.577
142,2018-04-01,250.227
143,2018-05-01,250.792
144,2018-06-01,251.018
145,2018-07-01,251.214
146,2018-08-01,251.663
147,2018-09-01,252.182
148,2018-10-01,252.772
149,2018-11-01,252.594
150,2018-12-01,252.767
151,2019-01-01,252.718
152,2019-02-01,253.322
153,2019-03-01,254.202
154,2019-04-01,255.211
155,2019-05-01,255.290
156,2019-06-01,255.159
157,2019-07-01,255.685
158,2019-08-01,256.059
159,2019-09-01,256.511
160,2019-10-01,257.244
161,2019-11-01,257.803
162,2019-12-01,258.616
163,2020-01-01,259.037
164,2020-02-01,259.248
165,2020-03-01,258.124
166,2020-04-01,256.092
167,2020-05-01,255.868
168,2020-06-01,256.986
169,2020-07-01,258.278
170,2020-08-01,259.411
171,2020-09-01,260.029
172,2020-10-01,260.286
173,2020-11-01,260.813
174,2020-12-01,262.035
175,2021-01-01,262.650
176,2021-02-01,263.638
177,2021-03-01,264.914
178,2021-04-01,266.670
179,2021-05-01,268.444
180,2021-06-01,270.559
181,2021-07-01,271.764
182,2021-08-01,272.870
183,2021-09-01,274.028
184,2021-10-01,276.522
185,2021-11-01,278.711
186,2021-12-01,280.887
187,2022-01-01,282.599
188,2022-02-01,284.610
189,2022-03-01,287.472
190,2022-04-01,288.611
191,2022-05-01,291.268
192,2022-06-01,294.728
193,2022-07-01,294.628
194,2022-08-01,295.320
195,2022-09-01,296.539
196,2022-10-01,297.987
197,2022-11-01,298.598
198,2022-12-01,298.990
199,2023-01-01,300.536
200,2023-02-01,301.648
201,2023-03-01,301.808
202,2023-04-01,302.918
203,2023-05-01,303.294
204,2023-06-01,303.841
